Problem Set Id,Problem Part,Problem Type,Answer Types,Problem Body,Fill-in Options,Fill-in Answers,Multiple Choice Options,Multiple Choice Answers,problem_id
PSB4G,1,Fill-in-the-blank(s),Numeric,"<p>Andre is reviewing proportional relationships. He wants to practice using a graph that goes through a point so that each coordinate is between 1 and 10.</p>
<p>&nbsp;</p>
<p>For the point, how many outcomes are in the sample space?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",100,100,,,3566
PSB4G,2,Fill-in-the-blank(s),Numeric,"<p>For how many outcomes are the<em>&nbsp;<span><span><span><span>x</span></span></span></span></em>-coordinate and the&nbsp;<em><span><span><span><span>y</span></span></span></span></em>-coordinate the same number?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",10,10,,,3705
PRABG429,1,Fill-in-the-blank(s),Algebraic Expression,"<p>Expand to write an equivalent expression:&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>-</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mo>(</mo><mo>-</mo><mn>2</mn><mi>x</mi><mo>+</mo><mn>4</mn><mi>y</mi><mo>)</mo></math></p>
<p>&nbsp;</p>
<p>If you get stuck, use a diagram to organize your work.</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",x-2y,x-2y,,,2894
PSBBEUD,2,Fill-in-the-blank(s),Numeric,"<p>How many locations is Noah considering?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r>locations</p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/188759.jpg"" alt=""The image is a decision tree diagram with three main branches labeled &quot;space,&quot; &quot;safari,&quot; and &quot;comics.&quot; Each branch splits into two sub-branches: &quot;skating rink&quot; and &quot;park.&quot; From each sub-branch, there are three additional branches pointing to the days &quot;Fri,&quot; &quot;Sat,&quot; and &quot;Sun.&quot;"" width=""369"" height=""534""></p>",2,2,,,194852
PSB25V,3,Fill-in-the-blank(s),Numeric,"<p>Divide&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>4</mn><mfrac><mn>1</mn><mn>2</mn></mfrac></math>&nbsp;by the following unit fraction.</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>1</mn><mn>6</mn></mfrac></math></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",27,27,,,131506
PRABFCKF,1,Order / Sort,Ordering,<p>Order from smallest to largest:</p>,"Number of slices of bread in a stack that is 1 ft high, Number of books in a stack that is 1 ft high, Number of dollar bills in a stack that is 1 ft high, Number of pennies in a stack that is 1 ft high","Number of slices of bread in a stack that is 1 ft high, Number of books in a stack that is 1 ft high, Number of dollar bills in a stack that is 1 ft high, Number of pennies in a stack that is 1 ft high",,,238362
PRABFG5X,1,Order / Sort,Ordering,"<p>The table shows five states and the lowest point in each state.</p>
<p>&nbsp;</p>
<table style=""height: 177px;"" border=""1"" width=""333"">
<thead>
<tr>
<th style=""width: 100.75px;"" scope=""col""><span style=""font-size: 12pt;"">State</span></th>
<th style=""width: 217.45px;"" scope=""col""><span style=""font-size: 12pt;"">Lowest Elevation (feet)</span></th>
</tr>
</thead>
<tbody>
<tr>
<td style=""width: 100.75px; text-align: center;""><span style=""font-size: 12pt;"">California</span></td>
<td style=""text-align: center; width: 217.45px;""><span style=""font-size: 12pt;"">-282</span></td>
</tr>
<tr>
<td style=""width: 100.75px; text-align: center;""><span style=""font-size: 12pt;"">Colorado</span></td>
<td style=""text-align: center; width: 217.45px;""><span style=""font-size: 12pt;"">3,350</span></td>
</tr>
<tr>
<td style=""width: 100.75px; text-align: center;""><span style=""font-size: 12pt;"">Louisiana</span></td>
<td style=""text-align: center; width: 217.45px;""><span style=""font-size: 12pt;"">-8</span></td>
</tr>
<tr>
<td style=""width: 100.75px; text-align: center;""><span style=""font-size: 12pt;"">New Mexico</span></td>
<td style=""text-align: center; width: 217.45px;""><span style=""font-size: 12pt;"">2,842</span></td>
</tr>
<tr>
<td style=""width: 100.75px; text-align: center;""><span style=""font-size: 12pt;"">Wyoming</span></td>
<td style=""text-align: center; width: 217.45px;""><span style=""font-size: 12pt;"">3,099</span></td>
</tr>
</tbody>
</table>
<p>&nbsp;</p>
<p>Put the states in order by their lowest elevation, from least (1) to greatest (5).</p>","California, Louisiana, Wyoming, New Mexico, Colorado","California, Louisiana, Wyoming, New Mexico, Colorado",,,5669
PSBBFD5,1,Fill-in-the-blank(s),Numeric,"<p>Find the value of&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>24</mn><mn>25</mn></mfrac><mo>&#247;</mo><mfrac><mn>4</mn><mn>5</mn></mfrac></math>.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",5-Jun,5-Jun,,,199749
PSBRQK,2,Fill-in-the-blank(s),Numeric,"<p>Find&nbsp;the&nbsp;quotient.</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>5</mn><mo>&#247;</mo><mfrac><mn>3</mn><mn>10</mn></mfrac></math></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>","16 2/3, 50/3","16 2/3, 50/3",,,76591
PSBRQK,3,Fill-in-the-blank(s),Numeric,"<p>Find&nbsp;the&nbsp;quotient.</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>5</mn><mo>&#247;</mo><mfrac><mn>9</mn><mn>10</mn></mfrac></math></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>","50/9, 5 5/9","50/9, 5 5/9",,,76716
PSBDP4S,1,Fill-in-the-blank(s),Numeric,"<p>Find&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>12</mn><mo>&#247;</mo><mfrac><mn>3</mn><mn>5</mn></mfrac></math>. Try not to use a diagram, if possible.&nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",20,20,,,594494
PSBG4B,2,Fill-in-the-blank(s),Numeric,"<p>A rectangular bathroom floor is covered with square tiles that are&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>1</mn><mfrac><mn>1</mn><mn>2</mn></mfrac></math> feet by <math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>1</mn><mfrac><mn>1</mn><mn>2</mn></mfrac></math> feet. The length of the bathroom floor is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>10</mn><mfrac><mn>1</mn><mn>2</mn></mfrac></math> feet and the width is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>6</mn><mfrac><mn>1</mn><mn>2</mn></mfrac></math> feet.</p>
<p>&nbsp;</p>
<p>How many tiles does it take to cover the width of the floor?</p>
<p>&nbsp;</p>
<p>&nbsp;<ast-r type=""text"" marker=""1""></ast-r> tiles</p>
<p><em><span style=""font-size: 10pt;"">Express your answer in fraction form.</span></em></p>",4 1/3,4 1/3,,,36911
PSBCY9G,2,Fill-in-the-blank(s),Numeric,"<p>Find the correct quotient.</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",15-Aug,15-Aug,,,469563
PSB222,1,Fill-in-the-blank(s),Numeric,"<p>Find the value of&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>15</mn><mn>4</mn></mfrac><mo>&#160;</mo><mo>&#247;</mo><mo>&#160;</mo><mfrac><mn>5</mn><mn>8</mn></mfrac></math>.</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",6,6,,,130932
PSB25V,1,Fill-in-the-blank(s),Numeric,"<p>Divide&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>4</mn><mfrac><mn>1</mn><mn>2</mn></mfrac></math>&nbsp;by the following unit fraction.</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>1</mn><mn>8</mn></mfrac></math></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",36,36,,,131258
PSB25V,2,Fill-in-the-blank(s),Numeric,"<p>Divide&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>4</mn><mfrac><mn>1</mn><mn>2</mn></mfrac></math>&nbsp;by the following unit fraction.</p>
<p>&nbsp;</p>
<p>&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>1</mn><mn>4</mn></mfrac></math></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",18,18,,,131386
PSBBT7,1,Fill-in-the-blank(s),Numeric,"<p>Han found a way&nbsp;to compute complicated expressions more easily. Since&nbsp;<span><span><span><span>2&nbsp;</span><span><span><span><span><span><span><span>&sdot;&nbsp;</span></span></span></span></span></span></span><span>5</span><span>=</span><span>10</span></span></span></span>, he looks for pairings of 2s and 5s that he knows equal 10. For example,</p>
<p><span><span><span><span><span>3&nbsp;&middot; </span><span><span>2</span><sup><span>4</span></sup></span><span><span><span><span><span><span><span>&nbsp;&middot; </span></span></span></span></span></span></span><span><span>5</span><sup><span>5</span></sup><span>&nbsp;</span></span><span>=&nbsp;</span><span>3&nbsp;&middot; </span><span><span>2</span><sup><span>4</span></sup></span><span><span><span><span><span><span><span>&nbsp;&middot; </span></span></span></span></span></span></span><span><span>5</span><sup><span>4</span></sup></span><span><span><span><span><span><span><span>&nbsp;&middot; </span></span></span></span></span></span></span><span>5&nbsp;</span><span>=&nbsp;</span><span>(</span><span>3&nbsp;&middot; </span><span>5</span><span>)&nbsp;&middot; </span><span>(</span><span>2&nbsp;&middot; </span><span>5</span><span><span>)</span><sup><span>4</span></sup><span>&nbsp;</span></span><span>=&nbsp;</span><span>15&nbsp;&middot; </span><span><span>10</span><sup><span>4</span></sup><span>&nbsp;</span></span><span>=&nbsp;</span><span>150</span><span>,</span><span></span><span>000.</span></span></span></span></span></p>
<p>&nbsp;</p>
<p>Use Han's technique&nbsp;to compute the following:</p>
<p>&nbsp;</p>
<p><span><span><span>2</span><sup><span>4</span></sup></span><span><span><span><span><span><span><span>&nbsp;&middot; </span></span></span></span></span></span></span><span>5&nbsp;&middot; </span><span>(</span><span>3&nbsp;&middot; </span><span>5</span><span><span>)</span><sup><span>3</span></sup></span></span></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",270000,270000,,,7635
PSBBT7,2,Fill-in-the-blank(s),Numeric,"<p>Han found a way&nbsp;to compute complicated expressions more easily. Since&nbsp;<span><span><span><span>2&nbsp;</span><span><span><span><span><span><span><span>&sdot;&nbsp;</span></span></span></span></span></span></span><span>5</span><span>=</span><span>10</span></span></span></span>, he looks for pairings of 2s and 5s that he knows equal 10. For example,</p>
<p><span><span><span><span><span>3&nbsp;&middot; </span><span><span>2</span><sup><span>4</span></sup></span><span><span><span><span><span><span><span>&nbsp;&middot; </span></span></span></span></span></span></span><span><span>5</span><sup><span>5</span></sup><span>&nbsp;</span></span><span>=&nbsp;</span><span>3&nbsp;&middot; </span><span><span>2</span><sup><span>4</span></sup></span><span><span><span><span><span><span><span>&nbsp;&middot; </span></span></span></span></span></span></span><span><span>5</span><sup><span>4</span></sup></span><span><span><span><span><span><span><span>&nbsp;&middot; </span></span></span></span></span></span></span><span>5&nbsp;</span><span>=&nbsp;</span><span>(</span><span>3&nbsp;&middot; </span><span>5</span><span>)&nbsp;&middot; </span><span>(</span><span>2&nbsp;&middot; </span><span>5</span><span><span>)</span><sup><span>4</span></sup><span>&nbsp;</span></span><span>=&nbsp;</span><span>15&nbsp;&middot; </span><span><span>10</span><sup><span>4</span></sup><span>&nbsp;</span></span><span>=&nbsp;</span><span>150</span><span>,</span><span></span><span>000.</span></span></span></span></span></p>
<p>&nbsp;</p>
<p>Use Han's technique&nbsp;to compute the following:</p>
<p>&nbsp;</p>
<p><img style=""max-width: none; vertical-align: -15px;"" src=""/pluginwiris_engine/app/showimage?formula=7a17cc6fc4ac5ce3a8236b18a05260c9&amp;cw=210&amp;ch=42&amp;cb=27"" alt=""fraction numerator 2 cubed space times space 5 squared space times space left parenthesis 2 space times space 3 right parenthesis squared space times space left parenthesis 3 space times space 5 right parenthesis squared over denominator 3 squared end fraction"" width=""210"" height=""42"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mfrac&raquo;&laquo;mrow&raquo;&laquo;msup&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;mn&raquo;3&laquo;/mn&raquo;&laquo;/msup&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#183;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;msup&raquo;&laquo;mn&raquo;5&laquo;/mn&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;/msup&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#183;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;(&laquo;/mo&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#183;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;3&laquo;/mn&raquo;&laquo;mrow&raquo;&laquo;msup&raquo;&laquo;mo&raquo;)&laquo;/mo&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;/msup&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;/mrow&raquo;&laquo;mo&raquo;&sect;#183;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;(&laquo;/mo&raquo;&laquo;mn&raquo;3&laquo;/mn&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#183;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;5&laquo;/mn&raquo;&laquo;msup&raquo;&laquo;mo&raquo;)&laquo;/mo&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;/msup&raquo;&laquo;/mrow&raquo;&laquo;msup&raquo;&laquo;mn&raquo;3&laquo;/mn&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;/msup&raquo;&laquo;/mfrac&raquo;&laquo;/math&raquo;""></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",180000,180000,,,7829
PSBGZP,2,Fill-in-the-blank(s),Numeric,"<p>A zookeeper is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>6</mn><mfrac><mn>1</mn><mn>4</mn></mfrac></math> feet tall. A young giraffe in his care is <math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>9</mn><mfrac><mn>3</mn><mn>8</mn></mfrac></math> feet tall.</p>
<p>&nbsp;</p>
<p>What fraction of the giraffe&rsquo;s height is the zookeeper&rsquo;s height? &nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>
<p><em><span style=""font-size: 10pt;"">Express your answer in fraction form.</span></em></p>",3-Feb,3-Feb,,,36501
PSBDK49,1,Fill-in-the-blank(s),Numeric,"<p>Here is a right triangle. What is its area?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r>cm<sup>2</sup></p>
<p>&nbsp;</p>
<p><sup><img src=""//resources.assistments.org/fetch/C/9c37f243-b005-4550-b505-14c3ea97af75.jpeg"" alt=""A right triangle.&nbsp;"" width=""317"" height=""165""></sup></p>",8-Mar,8-Mar,,,577269
PRABJCHV,1,Fill-in-the-blank(s),Numeric,"<p>A train moves at constant speed and travels 6 miles in 4 minutes. What is its speed in miles per minute?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> &nbsp;miles per minute</p>",2-Mar,2-Mar,,,9567
PRABJCHW,1,Fill-in-the-blank(s),Numeric,"<p>A car moves at a constant speed of 50 miles per hour. How long does it take the car to go 200 miles?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> hours</p>",4,4,,,9673
PSBB8W,4,Fill-in-the-blank(s),Numeric,"<p>If you are standing on a beach right next to the ocean, what is your elevation?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",0,0,,,9946
PSBBPYX,2,Fill-in-the-blank(s),Numeric,"<p>The area of a rectangle is <math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>17</mn><mfrac><mn>1</mn><mn>2</mn></mfrac></math> in<sup>2</sup> and its&nbsp;shorter side&nbsp;is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>3</mn><mfrac><mn>1</mn><mn>2</mn></mfrac></math> in.</p>
<p>&nbsp;</p>
<p>What is the length of the longer side?&nbsp;&nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> in</p>",5,5,,,242315
PSBBP6G,1,Fill-in-the-blank(s),Numeric,"<p>Find the value of&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>5</mn><mn>32</mn></mfrac><mo>&#247;</mo><mfrac><mn>25</mn><mn>4</mn></mfrac></math>.&nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",Jan-40,Jan-40,,,243107
PSBCAR,3,Fill-in-the-blank(s),Numeric,"<p>Use Priya&rsquo;s method to calculate <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfenced><mrow><mn>0</mn><mo>.</mo><mn>0015</mn></mrow></mfenced><mo>&#160;</mo><mo>&#183;</mo><mo>&#160;</mo><mfenced><mrow><mn>0</mn><mo>.</mo><mn>024</mn></mrow></mfenced></math>.</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",0.000036,0.000036,,,10585
PSB2GF,2,Fill-in-the-blank(s),Numeric,"<p>A bucket contains&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>11</mn><mfrac><mn>2</mn><mn>3</mn></mfrac></math> gallons of water and is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>5</mn><mn>6</mn></mfrac></math> full. How many gallons of water would be in a full bucket?&nbsp;</p>
<p>&nbsp;</p>
<p>Find the answer.</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> gallons</p>",14,14,,,127330
PSBB72,3,Fill-in-the-blank(s),Numeric,"<p>What is the measure of angle <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>A</mi><mi>E</mi><mi>B</mi></math>?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r><math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>°</mo></math></p>",60,60,,,10007
PSBCCG,1,Fill-in-the-blank(s),Numeric,"<p>The scale of a map says that 8 cm represents 5 km.</p>
<p><br>What distance on the map (in centimeters) represents an actual distance of 8 kilometers? &nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> centimeters</p>",12.8,12.8,,,10706
PSBCBU,1,Fill-in-the-blank(s),Algebraic Expression,"<p>A right triangle has side lengths of <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>a</mi></math>, <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>b</mi></math>, and <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>c</mi></math> units. The longest side has a length of <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>c</mi></math> units. Complete the equations to show three relations among&nbsp; <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>a</mi></math>, <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>b</mi></math>, and <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>c</mi></math>.</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi>c</mi><mn>2</mn></msup><mo>=</mo></math><ast-r type=""text"" marker=""1""></ast-r></p>
<p>&nbsp;</p>
<p><em><span style=""font-size: 10pt;"">Use the ^ symbol to represent an exponent.</span></em></p>
<p><em><span style=""font-size: 10pt;"">For example: 5<sup>2</sup>&nbsp;should be typed as 5^2</span></em></p>
<p>&nbsp;</p>",a^2+b^2,a^2+b^2,,,10412
PSBV2W,2,Fill-in-the-blank(s),Numeric,"<p>A sixth-grade science club needs&nbsp;$180 to pay for the tickets to a science museum.&nbsp;All tickets&nbsp;cost the same amount.</p>
<p>&nbsp;</p>
<p>Find the quotient.</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",12,12,,,102028
PSBBEUD,5,Fill-in-the-blank(s),Numeric,"<p>How many different possible outcomes are in the sample space?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r>possible outcomes</p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/188759.jpg"" alt=""The image is a decision tree diagram with three main branches labeled &quot;space,&quot; &quot;safari,&quot; and &quot;comics.&quot; Each branch splits into two sub-branches: &quot;skating rink&quot; and &quot;park.&quot; From each sub-branch, there are three additional branches pointing to the days &quot;Fri,&quot; &quot;Sat,&quot; and &quot;Sun.&quot;"" width=""369"" height=""534""></p>",18,18,,,196019
